ptPair,baseRt,nTrials,start,stop,oldTime
#1,468.1984815618221,922,#,1,NA
#2,444.0814432989691,970,#,2,NA
#3,461.1126126126126,888,#,3,NA
#4,437.3283283283283,999,#,4,NA
#5,411.0567514677104,1022,#,5,NA
#6,434.58910891089107,1010,#,6,NA
#7,440.3039832285115,954,#,7,NA
#8,418.6124865446717,929,#,8,NA
#9,440.81628392484345,958,#,9,NA
12,462.6808510638298,376,1,2,519
13,466.98270893371756,347,1,3,573
14,452.80285714285714,350,1,4,495
15,414.2738095238095,336,1,5,482
16,428.54571428571427,350,1,6,509
17,447.1969696969697,330,1,7,521
18,412.19101123595505,356,1,8,497
19,430.7871148459384,357,1,9,543
21,478.14772727272725,352,2,1,569
23,483.89159891598916,369,2,3,553
24,434.3908355795148,371,2,4,513
25,415.96923076923076,390,2,5,474
26,440.71122994652404,374,2,6,511
27,420.7866666666667,375,2,7,523
28,404.1486068111455,323,2,8,491
29,430.90677966101697,354,2,9,509
31,478.6219512195122,328,3,1,558
32,464.0734463276836,354,3,2,519
34,448.7966573816156,359,3,4,513
35,417.5558583106267,367,3,5,472
36,438.46448087431696,366,3,6,488
37,442.5922619047619,336,3,7,544
38,396.3072916666667,384,3,8,493
39,427.9946380697051,373,3,9,512
41,484.3293768545994,337,4,1,551
42,448.700288184438,347,4,2,517
43,455.9472049689441,322,4,3,560
45,414.7882037533512,373,4,5,464
46,426.7047353760446,359,4,6,509
47,457.26451612903224,310,4,7,522
48,419.8735294117647,340,4,8,482
49,430.1941489361702,376,4,9,546
51,482.3185840707965,339,5,1,549
52,454.0933333333333,375,5,2,504
53,459.93529411764706,340,5,3,552
54,445.7440476190476,336,5,4,501
56,424.3944020356234,393,5,6,483
57,447.0969696969697,330,5,7,535
58,412.7204301075269,372,5,8,479
59,432.8413597733711,353,5,9,527
61,483.38040345821327,347,6,1,567
62,461.82655826558266,369,6,2,515
63,478.96209912536443,343,6,3,546
64,447.765625,384,6,4,507
65,418.99694189602445,327,6,5,484
67,447.2829131652661,357,6,7,533
68,406.7774647887324,355,6,8,483
69,424.1368715083799,358,6,9,511
71,466.19182389937106,318,7,1,555
72,435.50663129973475,377,7,2,504
73,440.8757062146893,354,7,3,558
74,443.30337078651684,356,7,4,475
75,405.20540540540543,370,7,5,463
76,416.18934911242604,338,7,6,516
78,432.92058823529413,340,7,8,484
79,439.719696969697,396,7,9,541
81,454.89766081871346,342,8,1,554
82,433.3367609254499,389,8,2,512
83,444.66295264623955,359,8,3,540
84,433.3041095890411,365,8,4,485
85,402.8023598820059,339,8,5,448
86,411.8516320474777,337,8,6,472
87,451.09473684210525,380,8,7,512
89,446.22063037249285,349,8,9,507
91,460.78016085790887,373,9,1,546
92,437.7964824120603,398,9,2,512
93,457.74858757062145,354,9,3,540
94,430.18666666666667,375,9,4,514
95,399.0916442048518,371,9,5,460
96,426.314447592068,353,9,6,464
97,437.89973614775727,379,9,7,550
98,423.7038961038961,385,9,8,485
