Pos1,Pos2,time
1,2,519
1,3,573
1,4,495
1,5,482
1,6,509
1,7,521
1,8,497
1,9,543
2,1,569
2,3,553
2,4,513
2,5,474
2,6,511
2,7,523
2,8,491
2,9,509
3,1,558
3,2,519
3,4,513
3,5,472
3,6,488
3,7,544
3,8,493
3,9,512
4,1,551
4,2,517
4,3,560
4,5,464
4,6,509
4,7,522
4,8,482
4,9,546
5,1,549
5,2,504
5,3,552
5,4,501
5,6,483
5,7,535
5,8,479
5,9,527
6,1,567
6,2,515
6,3,546
6,4,507
6,5,484
6,7,533
6,8,483
6,9,511
7,1,555
7,2,504
7,3,558
7,4,475
7,5,463
7,6,516
7,8,484
7,9,541
8,1,554
8,2,512
8,3,540
8,4,485
8,5,448
8,6,472
8,7,512
8,9,507
9,1,546
9,2,512
9,3,540
9,4,514
9,5,460
9,6,464
9,7,550
9,8,485
